Biosample_RunID	Reads	Bases	Avg_Length
SAMEA7723653_ERR5003840	161296	23954620	148.5134163
SAMEA7724226_ERR5003913	161744	24031695	148.5785872
SAMEA7723686_ERR5004193	164450	24467716	148.7851383
SAMEA7723931_ERR5004706	167670	24917356	148.6095068
SAMEA7723653_ERR5004627	171184	25437426	148.5969834
SAMEA7724141_ERR5003783	171614	25512458	148.6618691
SAMEA7723639_ERR5003818	171748	25546379	148.7433857
SAMEA7724064_ERR5002264	171986	25714276	149.5137744
SAMEA7724226_ERR5004700	175696	26113794	148.630555
SAMEA7724142_ERR5005184	176684	26284504	148.7656154
SAMEA7724141_ERR5004570	179922	26759355	148.7275319
SAMEA7723653_ERR5005240	181126	26926979	148.6643497
SAMEA7724116_ERR5003707	182234	27022004	148.2819013
SAMEA7723639_ERR5004605	182584	27166841	148.7909182
SAMEA7723965_ERR5003992	185234	27566151	148.817987
SAMEA7723537_ERR5004145	186506	27749533	148.786275
SAMEA7724297_ERR5004076	186588	27753041	148.7396885
SAMEA7724146_ERR5003791	191028	28395886	148.6477689
SAMEA7723891_ERR5003649	193354	28749028	148.6859749
SAMEA7724297_ERR5004863	198986	29607268	148.7907089
SAMEA7724146_ERR5004578	199308	29639091	148.7099916
SAMEA7723891_ERR5004436	200308	29794760	148.7447331
SAMEA7723655_ERR5004633	200780	29322492	146.0428927
SAMEA7724116_ERR5004494	204748	30377741	148.3664847
SAMEA7723553_ERR5004300	208162	30928154	148.5773292
SAMEA7724049_ERR5004295	208330	30994903	148.7779148
SAMEA7724339_ERR5004180	210644	31326579	148.7181168
SAMEA7723901_ERR5003678	212918	31589109	148.3627922
SAMEA7724045_ERR5004288	215868	32140533	148.8897521
SAMEA7724049_ERR5005082	218802	32567605	148.8450974
SAMEA7723509_ERR5004089	218874	32543247	148.6848461
SAMEA7723553_ERR5005087	218934	32541290	148.6351595
SAMEA7724042_ERR5005071	219362	32625720	148.7300444
SAMEA7724339_ERR5004967	223016	33177587	148.7677431
SAMEA7724001_ERR5004194	223746	33303273	148.8441045
SAMEA7723526_ERR5004913	224224	33348509	148.7285438
SAMEA7724050_ERR5005083	231710	34452676	148.6887748
SAMEA7723509_ERR5004876	231810	34475327	148.7223459
SAMEA7723901_ERR5004465	235110	34894435	148.4174854
SAMEA7723974_ERR5004880	237284	35301747	148.774241
SAMEA7724222_ERR5003909	238250	35366984	148.4448437
SAMEA7723637_ERR5005213	242918	36154708	148.8350308
SAMEA7724215_ERR5003902	243090	36088017	148.4553746
SAMEA7724329_ERR5004170	243692	36217075	148.6182353
SAMEA7724313_ERR5004154	250092	37188423	148.6989708
SAMEA7724329_ERR5004957	260860	38780648	148.6646017
SAMEA7723509_ERR5002072	262866	39251957	149.3230657
SAMEA7723509_ERR5003351	265064	39588421	149.3541975
SAMEA7724309_ERR5004150	266260	39541822	148.5083077
SAMEA7724003_ERR5004196	266442	39660989	148.8541183
SAMEA7724313_ERR5004941	267108	39735352	148.7613699
SAMEA7724256_ERR5004020	277418	41218597	148.5793892
SAMEA7724003_ERR5004983	279268	41583407	148.9014388
SAMEA7723547_ERR5002230	281074	42036117	149.5553377
SAMEA7723557_ERR5004312	286136	42470050	148.4260981
SAMEA7724107_ERR5003698	288936	42855525	148.3218602
SAMEA7724309_ERR5004937	288990	42940441	148.5879823
SAMEA7723549_ERR5002231	292976	43759903	149.3634393
SAMEA7723549_ERR5003510	294916	44057455	149.3898432
SAMEA7724302_ERR5004081	295612	43941866	148.6470982
SAMEA7724045_ERR5002235	296782	44383451	149.5489989
SAMEA7723557_ERR5005099	299458	44476614	148.5237128
SAMEA7723924_ERR5003751	310472	45925867	147.9227338
SAMEA7723939_ERR5003929	311856	46318961	148.5267591
SAMEA7724302_ERR5004868	319232	47470851	148.7032973
SAMEA7724141_ERR5005183	319236	47473571	148.7099544
SAMEA7723393_ERR5003586	320776	47654642	148.560497
SAMEA7724107_ERR5004485	325528	48306863	148.3954161
SAMEA7723993_ERR5004135	326252	48548062	148.8054081
SAMEA7723939_ERR5004716	327160	48615608	148.5988752
SAMEA7724214_ERR5003901	329284	48864995	148.3977205
SAMEA7723924_ERR5004538	334252	49465257	147.9879163
SAMEA7723502_ERR5004026	335186	49851234	148.7270769
SAMEA7723464_ERR5003942	335296	49605823	147.9463608
SAMEA7723421_ERR5003665	335742	49712790	148.0684275
