Biosample	Reads	Bases
SAMEA7724017	8129576	1216211624
SAMEA7724037	8039974	1199702643
SAMEA7724313	8018452	1200419117
SAMEA7724023	8011700	1186172821
SAMEA7723620	7851574	1168014391
SAMEA7723944	7851116	1161871152
SAMEA7724010	7845516	1171133273
SAMEA7724284	7819450	1165676051
SAMEA7724034	7805614	1146065380
SAMEA7723480	7803270	1168946992
SAMEA7723692	7604996	1137310550
SAMEA7724000	7593336	1132464839
SAMEA7724112	7582228	1123752872
SAMEA7724223	7510874	1121720143
SAMEA7723889	7473694	1115879660
SAMEA7724170	7445638	1108247671
SAMEA7724183	7417896	1103049507
SAMEA7723665	7326152	1089672702
SAMEA7724248	7313576	1091500289
SAMEA7723969	7305154	1091498695
SAMEA7724164	7300506	1085366955
SAMEA7723617	7286620	1083323186
SAMEA7724039	7178606	1056647240
SAMEA7723866	7154896	1067313108
SAMEA7723606	7151370	1060844488
SAMEA7723853	7149492	1058370124
SAMEA7724321	7129470	1066129789
SAMEA7723634	7022190	1044378812
SAMEA7724377	6952754	1033747100
SAMEA7723518	6951914	1038256486
SAMEA7723652	6951082	1033299388
SAMEA7723663	6856508	1019631280
SAMEA7723730	6777708	1000566316
SAMEA7723865	6726864	1000344131
SAMEA7723999	6662818	993559050
SAMEA7723430	6564202	978493074
SAMEA7723542	6507202	966721391
SAMEA7723521	6501308	967140038
SAMEA7724132	6487176	944591921
SAMEA7723728	6441268	945080241
SAMEA7723851	6438574	962807227
SAMEA7723649	6429652	956796296
SAMEA7724289	6372808	953800802
SAMEA7724302	6359702	951691981
SAMEA7723967	6311464	936824801
SAMEA7723602	6298370	943553963
SAMEA7723970	6275830	938269449
SAMEA7723848	6247862	931696223
SAMEA7724134	6231546	925489049
SAMEA7723870	6162864	922382745
SAMEA7723694	6157542	922324601
SAMEA7724227	6117904	911168596
SAMEA7723932	6085872	899836165
SAMEA7723971	6069398	904974226
SAMEA7724231	6052882	905689244
SAMEA7724049	6052042	905117710
SAMEA7723916	6051402	835071062
SAMEA7723891	6006446	898520755
SAMEA7724130	6000538	888610087
SAMEA7724352	5986926	893253606
SAMEA7724150	5986088	888314212
SAMEA7723719	5895136	876359968
SAMEA7723917	5875336	847536085
SAMEA7724057	5832478	865502447
SAMEA7724190	5760628	856305133
SAMEA7723508	5759792	855436861
SAMEA7723732	5749674	845682413
SAMEA7723925	5745346	853603722
SAMEA7724230	5725858	855646951
SAMEA7724374	5678858	844320747
SAMEA7723947	5676234	848965223
SAMEA7724378	5665438	841560311
SAMEA7723522	5663674	844857958
SAMEA7724353	5623950	838147693
SAMEA7724143	5582472	830374596
SAMEA7723497	5536142	824981791
SAMEA7724038	5521740	824498321
SAMEA7723654	5516978	820325542
SAMEA7724022	5439614	812500018
SAMEA7723603	5437576	814520198
SAMEA7724136	5406358	805344312
SAMEA7724009	5397900	788295260
SAMEA7723905	5384042	803028957
SAMEA7724051	5357810	802012050
SAMEA7724101	5264110	786970617
SAMEA7723924	5246014	782229782
SAMEA7724229	5241054	785148905
SAMEA7723475	5235348	783276581
SAMEA7724375	5218612	775160595
SAMEA7723618	5218576	775749481
SAMEA7723633	5196554	773167057
SAMEA7724032	5166878	765584788
SAMEA7724133	5133016	756684328
SAMEA7723648	5105634	759870059
SAMEA7723628	5096268	758155911
SAMEA7724019	5070264	753856777
SAMEA7723472	5056094	753504597
SAMEA7723600	5025718	747019682
SAMEA7723731	4947394	729334187
SAMEA7723435	4904608	731731643
SAMEA7723857	4872304	726966973
SAMEA7723625	4783194	711398766
SAMEA7724040	4728628	707890592
SAMEA7724100	4712234	705408257
SAMEA7724253	4711976	704842505
SAMEA7723390	4598582	686772922
SAMEA7724114	4574466	684168262
SAMEA7723945	4521140	676691017
SAMEA7724107	4516824	675479071
SAMEA7724256	4494040	672482776
SAMEA7724273	4479204	671049456
SAMEA7723729	4418992	647636691
SAMEA7724012	4383384	605724552
SAMEA7723415	4369420	653284479
SAMEA7724194	4368726	649728125
SAMEA7724259	4337818	649214557
SAMEA7724249	4295666	636083400
SAMEA7724151	4234750	617584472
SAMEA7724386	4164450	619430414
SAMEA7724186	4148658	617488572
SAMEA7723631	4124328	613839933
SAMEA7724215	4071376	609146293
SAMEA7724024	4056690	603836116
SAMEA7723398	3943292	586301561
SAMEA7723422	3941296	586352128
SAMEA7724036	3886198	575846402
SAMEA7724376	3852188	573068134
SAMEA7724008	3720244	548517761
SAMEA7724201	3676456	550013120
SAMEA7723419	3665658	545468446
SAMEA7724098	3627094	542784151
SAMEA7723526	3574206	530901702
SAMEA7723940	3571482	529834427
SAMEA7724135	3554204	527555112
SAMEA7723432	3542664	526764478
SAMEA7724158	3533534	526021549
SAMEA7723632	3486428	517118791
SAMEA7724152	3469964	516095331
SAMEA7724159	3427868	508524528
SAMEA7724044	3371230	504066665
SAMEA7724104	3367710	503548328
SAMEA7723875	3361634	501000721
SAMEA7724014	3313322	483351890
SAMEA7723667	3284172	488408809
SAMEA7724385	3229312	480725364
SAMEA7724015	3222556	481196990
SAMEA7724116	3156932	471776618
SAMEA7724226	3139154	469684025
SAMEA7724025	3095422	462701045
SAMEA7723922	3056842	445440529
SAMEA7723662	3051470	454228760
SAMEA7723892	3050284	454316019
SAMEA7723899	3021700	450669321
SAMEA7724102	3020070	450985913
SAMEA7724033	2994666	446975386
SAMEA7723550	2983080	443767475
SAMEA7723716	2979404	442796447
SAMEA7724035	2970026	441784517
SAMEA7723923	2932644	425838426
SAMEA7723868	2876112	429214907
SAMEA7724052	2824660	421630089
