column	unit_name	unit_count_in_column
samp_size	gram millisecond	1
samp_size	gram per square metre	1
samp_size	gram to the 13	1
samp_size	gram to the 14	1
samp_size	gram to the 15	1
samp_size	inch stere year roentgen	1
samp_size	kelvin	1
samp_size	kilobit	1
samp_size	litre tonne	1
samp_size	metre cubic metre	1
samp_size	metre maxwell to the 6 millimetre	1
samp_size	millibarn	1
samp_size	milligram second	1
samp_size	minute of arc	1
samp_size	per litre to the 7 litre	1
samp_size	roentgen	1
samp_size	second of arc	1
samp_size	second watt attobarn	1
samp_size	set kelvin	1
samp_size	siemens	1
samp_size	south african rand	1
samp_size	speed of light speed of light	1
samp_size	square millimetre	1
samp_size	ton	1
samp_store_temp	dimensionless	90
samp_store_temp		65
samp_store_temp	degree Celsius	45
samp_store_temp	coulomb	38
samp_store_temp	degree angle	17
samp_store_temp	degree angle coulomb	15
samp_store_temp	kelvin	3
samp_store_temp	ampere-turn	1
samp_store_temp	farad	1
samp_store_temp	speed of light	1
samp_vol_we_dna_ext	dimensionless	867
samp_vol_we_dna_ext	gram	235
samp_vol_we_dna_ext	cubic centimetre	152
samp_vol_we_dna_ext		122
samp_vol_we_dna_ext	milligram	58
samp_vol_we_dna_ext	litre	34
samp_vol_we_dna_ext	cubic millimetre	9
samp_vol_we_dna_ext	atomic mass unit litre	4
samp_vol_we_dna_ext	newton gram	3
samp_vol_we_dna_ext	cubic metre	2
samp_vol_we_dna_ext	gross	2
samp_vol_we_dna_ext	hour	1
samp_vol_we_dna_ext	kilogram	1
samp_vol_we_dna_ext	microgram	1
samp_vol_we_dna_ext	millimetre	1
samp_vol_we_dna_ext	newton gram per atomic mass unit per litre	1
samp_vol_we_dna_ext	unk	1
silicate	dimensionless	2178
silicate	mole per litre	242
silicate	unk mole per litre	234
silicate	atomic mass unit mole per litre	164
silicate	micrometre	136
silicate		78
silicate	microsecond mole per cubic decimetre	35
silicate	atomic mass unit mole per kilogram	31
silicate	microgram per litre	29
silicate	milligram per litre	29
silicate	unk	22
silicate	microsecond mole per litre	6
silicate	parts-per-million	1
silicate	percentage	1
size_frac	micrometre	39
size_frac	dimensionless	32
size_frac		22
size_frac	millimetre	18
size_frac	atomic mass unit metre	7
size_frac	metre	4
size_frac	unk	3
size_frac	centimetre	2
size_frac	base pair	1
size_frac	cubic centimetre	1
size_frac	kilobarn	1
size_frac	unk micrometre	1
slope_aspect	dimensionless	235
slope_aspect	degree angle	22
slope_aspect		19
slope_aspect	ångström	2
slope_aspect	percentage	1
slope_gradient	dimensionless	296
slope_gradient	percentage	7
slope_gradient		6
slope_gradient	degree angle	2
sludge_retent_time	day	90
sludge_retent_time	dimensionless	19
sludge_retent_time		10
sludge_retent_time	hour	2
sludge_retent_time	month	2
sludge_retent_time	dime	1
sodium	dimensionless	890
sodium	milligram per litre	170
sodium	parts-per-million	49
sodium	unk	45
sodium		19
sodium	metre	10
sodium	atomic mass unit mole per kilogram	9
sodium	atomic mass unit mole per litre	6
sodium	percentage	2
sodium	gram per litre	1
solar_irradiance	dimensionless	6
soluble_react_phosp	mole per litre	305
soluble_react_phosp	microgram per litre	69
